merchant_name,merchant_category,amount,is_recurring,user_balance_pre,hour,day_of_week,label_category_enc,label_urgency_enc
20,4,1575.6,1,15150.49,3,0,2,2
46,13,220.27,0,14030.28,2,1,0,0
23,5,481.92,0,18039.5,6,2,1,1
20,4,1546.32,1,6533.15,22,6,2,2
11,0,307.2,0,11891.37,3,0,1,1
21,8,3520.86,1,13660.28,12,2,2,2
50,15,5284.09,1,17997.26,2,5,2,2
37,0,407.99,0,9004.67,8,0,1,1
47,9,1372.72,0,10691.83,20,1,0,0
25,10,1387.48,0,9731.8,22,0,2,2
25,10,3377.47,1,18718.21,2,6,2,2
18,15,2882.56,0,13768.79,4,5,2,2
30,14,206.68,0,6644.74,12,6,0,0
8,5,153.45,0,19941.82,5,1,1,1
39,3,1389.54,0,9002.38,8,6,0,0
23,5,554.49,0,18137.79,10,1,1,1
38,12,1693.85,0,7983.67,16,3,0,0
24,3,924.94,0,10444.71,5,4,0,0
52,1,1570.59,0,19669.77,7,5,0,0
12,2,249.99,1,14098.91,4,1,1,1
7,11,856.46,0,10601.31,17,5,0,0
15,15,2057.09,1,8451.72,14,0,2,2
46,13,164.43,1,9956.43,0,2,0,0
6,2,611.46,1,18235.75,7,6,1,1
31,2,249.49,1,11465.77,15,3,1,1
36,13,1362.96,0,5909.19,13,1,0,0
33,11,302.89,0,11939.42,3,0,0,0
3,12,1332.41,0,5221.37,14,5,0,0
31,2,286.58,1,5879.53,7,0,1,1
13,6,524.68,1,19931.34,0,0,1,1
49,14,687.5,0,13687.7,21,6,0,0
46,13,1189.83,1,17790.8,1,6,0,0
10,9,1252.73,1,8528.06,1,5,0,0
36,13,216.48,0,13478.4,18,0,0,0
25,10,1570.12,0,14682.51,8,2,2,2
52,1,1037.73,0,19941.45,10,5,0,0
20,4,5057.66,1,18189.05,17,4,2,2
21,8,5229.98,1,12934.11,9,2,2,2
16,12,609.8,0,16136.25,17,0,0,0
7,11,459.01,0,8959.76,8,4,0,0
46,13,1371.61,1,5661.3,8,0,0,0
47,9,949.08,0,13413.6,4,4,0,0
41,14,1705.14,1,7221.41,2,3,0,0
51,13,436.62,0,6541.9,1,4,0,0
49,14,1901.32,0,17161.58,13,1,0,0
27,10,4409.33,1,17161.24,0,3,2,2
2,12,1876.29,0,8336.51,5,5,0,0
15,15,569.27,1,9923.93,11,6,2,2
0,7,990.15,0,19088.56,8,2,1,1
20,4,974.88,1,15928.18,8,5,2,2
2,12,1692.21,0,5665.8,13,1,0,0
7,11,971.02,0,18811.56,0,1,0,0
38,12,1073.57,0,9892.74,10,6,0,0
33,11,1314.06,0,16222.02,9,1,0,0
0,7,817.0,0,8152.74,19,0,1,1
13,6,469.43,0,12097.79,19,4,1,1
25,10,4393.01,1,15091.94,21,4,2,2
46,13,2012.49,1,16527.34,6,5,0,0
33,11,962.12,1,14840.87,13,4,0,0
15,15,4279.86,1,11968.25,3,4,2,2
2,12,307.82,0,12966.98,7,0,0,0
42,6,898.86,0,11401.11,19,1,1,1
31,2,316.42,0,14564.92,14,2,1,1
43,4,812.31,1,9075.73,15,2,2,2
49,14,741.58,0,8209.29,17,4,0,0
13,6,166.43,0,10842.15,13,4,1,1
17,7,102.19,0,16302.13,22,0,1,1
50,15,1468.31,0,5435.37,17,6,2,2
0,7,246.92,1,6914.42,21,6,1,1
0,7,550.45,0,14641.24,17,5,1,1
43,4,1955.21,0,10062.51,14,1,2,2
29,5,846.36,0,16235.36,8,0,1,1
52,1,1657.5,1,7990.41,11,0,0,0
30,14,1372.78,0,8269.47,19,5,0,0
47,9,1295.32,0,6717.99,8,3,0,0
24,3,1268.51,0,10629.6,9,1,0,0
15,15,3493.03,0,15263.89,2,5,2,2
11,0,472.97,1,12589.41,18,0,1,1
6,2,476.66,1,18373.63,0,1,1,1
47,9,1099.53,0,14238.69,22,6,0,0
43,4,4619.3,0,6299.94,15,4,2,2
17,7,134.66,0,7727.6,7,1,1,1
27,10,4640.95,1,9144.03,11,5,2,2
18,15,2354.63,1,8604.86,16,0,2,2
9,6,173.52,0,15376.81,20,0,1,1
12,2,569.22,1,16189.03,21,4,1,1
43,4,1507.55,0,7888.76,11,3,2,2
10,9,470.46,0,15868.78,23,0,0,0
7,11,461.95,0,5212.23,19,4,0,0
36,13,674.71,1,14568.04,4,2,0,0
28,8,2569.65,1,19482.46,3,1,2,2
35,1,1024.45,0,15296.77,15,5,0,0
32,8,4593.17,0,16466.65,4,2,2,2
18,15,2392.4,1,9460.3,19,4,2,2
36,13,1768.14,0,16441.06,13,2,0,0
48,1,523.12,0,7347.99,6,0,0,0
31,2,123.9,1,9240.78,14,1,1,1
26,4,3345.76,1,7967.29,2,3,2,2
1,14,1519.47,1,7488.84,17,4,0,0
28,8,1099.57,1,15496.01,19,5,2,2
9,6,687.94,1,16018.01,16,1,1,1
18,15,4325.91,1,19261.79,8,3,2,2
19,9,1049.71,0,9172.35,8,3,0,0
6,2,513.42,1,9815.87,13,0,1,1
31,2,682.47,0,16407.5,5,6,1,1
43,4,1077.34,1,17973.66,14,6,2,2
13,6,149.33,0,14339.51,21,2,1,1
46,13,528.64,0,9320.44,20,5,0,0
18,15,1225.03,1,13283.77,15,2,2,2
2,12,1952.8,1,7309.57,7,0,0,0
29,5,931.88,0,13268.98,16,4,1,1
41,14,622.82,0,11224.14,6,2,0,0
21,8,1875.55,0,19983.53,8,2,2,2
31,2,420.19,0,10658.15,4,0,1,1
5,7,854.88,0,9772.64,6,5,1,1
17,7,1047.44,0,14780.29,22,6,1,1
25,10,4380.93,0,12889.27,15,2,2,2
8,5,890.22,0,16722.88,0,4,1,1
0,7,166.37,0,15115.36,10,4,1,1
12,2,120.89,1,14467.42,12,2,1,1
23,5,816.31,0,6507.61,7,2,1,1
39,3,621.94,0,10376.95,22,3,0,0
8,5,667.96,0,7626.04,4,5,1,1
50,15,4278.85,1,11917.25,12,6,2,2
45,3,1871.56,0,7369.63,14,6,0,0
8,5,347.54,0,7988.25,11,4,1,1
0,7,405.79,0,15489.19,15,2,1,1
39,3,1915.22,0,17492.58,21,6,0,0
37,0,689.23,1,15166.47,7,1,1,1
3,12,644.7,0,13693.61,21,3,0,0
22,10,2227.95,1,16797.69,2,6,2,2
20,4,1763.93,1,12227.72,16,0,2,2
2,12,1789.14,0,19497.5,23,6,0,0
37,0,732.71,0,13048.58,23,5,1,1
26,4,2275.98,0,10572.1,11,3,2,2
22,10,1365.45,1,17357.83,7,4,2,2
16,12,125.62,0,19938.91,9,3,0,0
30,14,966.48,0,16147.1,3,5,0,0
30,14,1415.67,0,14234.78,13,5,0,0
33,11,868.75,0,10440.29,1,5,0,0
37,0,429.9,0,6832.4,11,3,1,1
39,3,1503.0,0,6888.86,2,3,0,0
44,11,1548.12,0,16615.53,6,4,0,0
49,14,1169.3,0,6648.9,0,6,0,0
18,15,1829.47,1,5785.99,4,1,2,2
35,1,898.64,1,13904.99,16,0,0,0
36,13,1693.06,1,12821.77,16,2,0,0
31,2,445.73,1,15686.02,20,5,1,1
22,10,1080.22,1,14364.76,2,5,2,2
0,7,572.15,0,14081.4,17,0,1,1
33,11,880.0,0,10083.97,22,3,0,0
38,12,911.32,0,10614.52,12,3,0,0
52,1,1535.94,0,6448.47,21,3,0,0
22,10,1019.29,1,14980.11,4,3,2,2
28,8,967.63,0,7320.95,23,1,2,2
11,0,453.43,0,13611.5,7,3,1,1
24,3,101.63,0,16436.14,17,4,0,0
30,14,194.64,0,19577.15,11,0,0,0
17,7,473.45,0,9674.56,23,6,1,1
46,13,365.36,0,15109.53,18,0,0,0
12,2,475.25,1,16324.15,14,1,1,1
21,8,3543.69,1,15006.99,11,4,2,2
46,13,488.59,1,16510.24,7,4,0,0
45,3,1408.96,0,10703.11,9,6,0,0
37,0,479.5,1,11543.29,7,5,1,1
8,5,476.98,0,9342.73,2,6,1,1
42,6,851.36,0,17667.27,0,6,1,1
35,1,1833.43,0,8323.58,13,0,0,0
16,12,1761.83,1,15910.69,2,4,0,0
1,14,443.58,0,16403.23,4,3,0,0
31,2,819.49,1,11733.58,2,1,1,1
22,10,1899.47,1,12033.82,20,4,2,2
51,13,999.9,1,11778.71,9,3,0,0
